OBJECTID,Name,kV,kV_Sort,Owner,Status,Circuit,Type,Legend,Length_Mile,Length_Feet,TLine_Name,Engineering_ID,Engineering_Name,Structure_Type,Structure_Material,Source,Comments,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID,SHAPE_Length
1,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,2,10879.98077483, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,{EE79BAA8-EC31-4EA3-89A1-AA93DDD2E1FE},4198.10967827796
2,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,3,16505.41123852, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,{27657F83-1FA1-433E-90E4-7D8273D24740},6368.07688008903
3,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,1,3807.24014248, , , , , ,AMP, ,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:11+00,{1A61BBCC-4D0D-4BD1-A9BF-65DBCE40E875},1470.17005173638
4,AMP 115kV,115,115,AMP,Operational,Single,OH,Other_110_161kV,1,6135.61557739,,,,,,AMP,Partially underwater,FTHONG,2012/08/31 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:09+00,{16F5AE4F-5112-4C67-8D8D-B3CB0483231F},2368.33813838069
5,ANZA 34kV,34,34,ANZA,Operational,Single,OH,Other_33_92kV,24,127189.40561552,,,,,,City of Anza,,FTHONG,2012/08/24 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:29:06+00,{B2B57C70-B09E-46E5-A7BF-7EC354D4436F},46585.77821384
6,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,9248.84138798, , , , , ,APUD, ,FTHONG,2012/08/08 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,{B7A66106-DEDA-432C-8DFD-62F8C994A37E},3402.35560895612
7,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,2,11733.56623931, , , , , ,APUD,,FTHONG,2012/08/14 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,{47DB1B29-5476-417C-B01A-EEEC01831B7E},4305.12061443687
8,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,0,636.64196228, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,{13A6BF1D-B344-436A-9404-A70859ECFF09},234.144609780399
9,APUD 69kV,69,69,APUD,Operational,Double,OH,Other_33_92kV,3,13212.03647399, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:35+00,{AA12DFB7-D557-4C4F-9C64-6647364FE38C},4863.60699463427
10,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,5195.39335633, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,{83262BE5-96D9-4BBD-837F-C040FBF91D6F},1912.38386608989
11,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,1,4448.30375512, , , , , ,APUD, ,FTHONG,2012/08/22 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,{5F23C841-0487-4034-9014-A5A9C68F14F7},1637.52215158184
12,APUD 69kV,69,69,APUD,Operational,Single,UG,Other_33_92kV,1,4672.06769838, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,{D6EB1E54-27FB-4ABC-8AD6-2776000A0860},1716.41076746814
13,APUD 69kV,69,69,APUD,Operational,Single,OH,Other_33_92kV,2,11864.3851525, , , , , ,APUD, ,FTHONG,2012/08/16 00:00:00+00,SVC_AGIS_SQLADM,2016/04/25 15:28:38+00,{47C3391D-FBAC-4F4F-9779-5EB5E1B90403},4357.72496231144
