X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat,CAISO_Name
-13608019.18,4547328.302,1,Other,,CEC,SUBSTATION,310025,Jenney,115,94501,CA,Alameda County,Alameda,-122.2429162,37.77243572,
-13654155.81,4616931.162,2,PG&E,,CEC,SUBSTATION,306474,Corona,115,94954,CA,Sonoma County,Petaluma,-122.6573685,38.2650127,
-13539338.97,4548179.784,3,PG&E,,CEC,SUBSTATION,310124,South Bay 1,,94514,CA,Alameda County,Unincorporated,-121.6259513,37.77848161,
-13545044.87,4543940.58,4,PG&E,,CEC,SUBSTATION,306256,Altamont,60,94551,CA,Alameda County,Unincorporated,-121.6772083,37.7483765,
-13587799.24,4535905.499,5,PG&E,,CEC,SUBSTATION,303892,Castro Valley,230,94546,CA,Alameda County,Unincorporated,-122.0612774,37.69128098,
-13606423.85,4557887.181,6,PG&E,,CEC,SUBSTATION,303608,Claremont,115,94618,CA,Alameda County,Oakland,-122.2285851,37.84737346,
-13582918.76,4522479.683,7,Other,,CEC,SUBSTATION,303469,Cryogenics,115,94587,CA,Alameda County,Union City,-122.0174353,37.59578193,
-13748979.78,4879615.993,8,PG&E,,CEC,SUBSTATION,307419,Kekawaka,60,95595,CA,Trinity County,Unincorporated,-123.5091868,40.09403073,
-13587427.73,4517031.291,9,PG&E,,CEC,SUBSTATION,307780,Dumbarton,115,94555,CA,Alameda County,Fremont,-122.05794,37.55699202,
-13593958.98,4526596.543,10,PG&E,East Bay,CEC,SUBSTATION,301389,Eastshore,230,94545,CA,Alameda County,Hayward,-122.1166112,37.62507859,
-13602551.49,4542576.893,11,PG&E,,CEC,SUBSTATION,303133,Edes,115,94603,CA,Alameda County,Oakland,-122.1937991,37.73868954,
-13576743,4514836.873,12,PG&E,,CEC,SUBSTATION,302108,Fremont,115,94538,CA,Alameda County,Fremont,-121.9619574,37.54136311,
-13574235.09,4508146.227,13,Other,,CEC,SUBSTATION,305808,Nummi,115,94538,CA,Alameda County,Fremont,-121.9394285,37.49369132,
-13598737.64,4533090.532,14,PG&E,,CEC,SUBSTATION,303596,Grant,115,94579,CA,Alameda County,San Leandro,-122.1595387,37.67126804,
-13608336.2,4561948.09,15,Other,,CEC,SUBSTATION,305871,Grizzly,115,94720,CA,Alameda County,Oakland,-122.245764,37.876174,
-13562262.49,4532623.348,16,PG&E,,CEC,SUBSTATION,308301,Luka,60,94566,CA,Alameda County,Unincorporated,-121.8318768,37.66794608,
